"SourceID","ASJC"
21101170611,1407
21100902951,"2708; 2725"
22012,"2700"
26063,"2700"
40160,"2705"
21100832755,"1213; 3316; 1202"
21101194408,"1202"
18500162600,"1210"
21100404576,"2210; 2211; 3104; 2500; 1600"
21100447128,"2301; 1101; 1305"
21100779062,"2209; 2501"
21100229836,"2208; 1712"
19700200922,"1208; 3310; 1203"
21101005201,"1208"
145295,"1703; 1803; 1404; 2614"
21100399164,"2700"
16400154734,"3322; 1213; 2216"
5700161051,"1208; 3320; 3312; 3316"
21101076713,"3308"
15299,"2700"
4000149613,"2700"
6400153185,
21100881366,"2700"
19400157806,"2708"
19600162081,"2708"
19400157807,"2308; 2100; 2102; 2103; 2611; 2105"
19600162082,"2700"
19400158171,"2728; 1201"
19400157809,"2700"
19400157812,"2700"
19600162043,"2735"
19400157808,"2724"
19400157810,"2731"
19400157811,"2733"
19400157813,"2746"
21100456161,"1208; 1202; 3316"
11600153683,"1213; 3322; 2216; 2205"
21100780699,"3322; 1202; 2215; 2216"
5800207606,"1208; 3310; 1203"
28033,"3616; 2742"
21101074855,"2712"
19300156808,"2308; 2312; 1104; 1105"
4700152443,"2906; 2711"
26408,"2902; 2904; 2911"
51879,"2700"
26729,"2914; 2902; 2703"
66438,"2700"
5100155055,"2902; 2707; 3603"
27096,"2739; 2901"
30787,"1907; 1906; 2103; 2102; 1901"
24508,"1905"
21100199540,"1900; 1207; 3100; 1100; 2600; 1600; 1700"
18199,"2700"
21101165632,"3100"
21100853564,"3003"
4000148019,"3003"
11000153741,"3003"
19374,"3003"
27078,"1900"
70264,"2700"
29933,"1405"
21101061448,"1000"
21100776059,"2505; 2507; 1508"
15286,"1601; 1500; 2501"
83765,"2700"
21100316466,"3312; 1202"
13208,"1406"
29842,"3308"
21100870382,"1208; 2000; 3301; 1400; 3304"
100147335,"1402"
18665,"2208; 2210"
12021,"1500"
27818,"2748; 2715; 2741; 3614"
21100454916,"2748; 2715; 2741; 3614"
76291,"2215"
27488,"2600"
21100307500,"1900; 2300"
13678,"1900; 2300"
26472,"2700"
21101075891,"1110; 1305; 1301; 1311; 1312; 1102"
19900192010,"1202; 3316"
54911,"2200"
92651,"2210"
21100944128,"1202; 1213; 1208; 1203; 3310"
24087,"2604; 2603"
92766,"1100"
22394,"2208"
96315,"2700"
94568,"2200"
16376,"3304"
21100838570,"3304"
21100897510,"2000"
20396,"2700"
19700173246,"1408; 2000; 1403; 1803; 1407"
15185,"2711"
21100925779,"2734"
19700182619,"1306; 2730"
21100897507,"2301; 3300; 2001; 1401; 1201"
19900192427,"2209"
21101152119,"2700"
3200147815,"2700"
18353,"1300"
28997,"1407; 3304"
26493,"3304"
27064,"2900; 2922"
21100869489,"2734"
16800154743,"2735"
17539,"2738; 3304"
21101005539,"1200"
5600153996,"3304"
20031,"2741"
21100889435,"1405; 1409; 3300"
77182,"3100"
19300157018,"2002; 2003; 1402"
19700175173,"2002; 2003"
19700175174,"1408; 2002; 1403"
19900191906,"1407; 1403"
21101146363,"1408; 1407; 1403; 1410"
20189,"1406"
20191,"1405; 1408; 1400; 1403"
5200152701,"1407; 3304"
4700152287,"1406; 1408; 1403"
20206,"1405; 1408; 1400"
19700175175,"1406; 2002"
19700175176,"1408; 1403"
23668,"1202"
19700173205,"1109"
24078,"1109"
4500151410,"2705; 2900"
21512,"2705; 2900"
21101125145,"2726; 2404"
21101043803,"3308"
19532,"3308; 2213; 2739; 3307"
27065,"2706; 2711; 2900"
18735,"3309; 3304"
21100943519,"3003; 1402"
28034,"1402"
200147123,"2001; 2003; 1402"
19900193215,"1402"
19700188267,"3304; 1402"
145078,"2003; 1402"
21100388306,"1202; 1402"
11400153311,"1202; 1402"
19900192338,"1202; 1400; 1401; 1402"
5000158708,"1402"
19900191863,"2003; 1402; 1403"
14000156207,"2003; 1402"
19600162139,"2003; 1402"
28096,"2002; 2003; 1402"
130105,"2001; 1402"
18215,"1400; 1401; 1402"
21100843497,"3308; 2001; 1402"
21101021168,"2003; 1402"
9700153235,"1405; 3309; 1407; 1710; 1404"
28094,"1407; 3312; 1802; 1402"
22657,"1600"
21101080487,"2505; 2507; 2501; 1501"
23415,"2213; 3105; 1500; 1600"
21100235613,"3308"
21101196739,"3309; 1202"
21100788267,"2700"
5000153201,"1600"
25159,"2500; 2215; 2205"
25161,"2215; 2205"
5100155014,"3605; 2719"
